 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3630mV, curr:1480mA, ntc:7586R, adj:0, RMP:13003, duty:698, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1480mA, ntc:7586R, adj:0, RMP:13003, duty:696, vbemf:902, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1400mA, ntc:7597R, adj:0, RMP:12973, duty:675, vbemf:859, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7597R, adj:0, RMP:12973, duty:675, vbemf:867, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7597R, adj:0, RMP:12973, duty:675, vbemf:865, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7597R, adj:0, RMP:12973, duty:675, vbemf:866, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7586R, adj:0, RMP:12973, duty:675, vbemf:869, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7597R, adj:0, RMP:12973, duty:675, vbemf:868, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7586R, adj:0, RMP:12943, duty:675, vbemf:873, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7586R, adj:0, RMP:12943, duty:675, vbemf:875, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7586R, adj:0, RMP:12943, duty:675, vbemf:878, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1380mA, ntc:7586R, adj:0, RMP:12943, duty:675, vbemf:886, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7580R, adj:0, RMP:12943, duty:675, vbemf:885, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7580R, adj:0, RMP:12913, duty:675, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7580R, adj:0, RMP:12913, duty:675, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7580R, adj:0, RMP:12913, duty:675, vbemf:887, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7569R, adj:0, RMP:12913, duty:675, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1380mA, ntc:7564R, adj:0, RMP:12898, duty:675, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7569R, adj:0, RMP:12868, duty:675, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7569R, adj:0, RMP:12868, duty:675, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7569R, adj:0, RMP:12853, duty:674, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1380mA, ntc:7569R, adj:0, RMP:12853, duty:672, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1360mA, ntc:7564R, adj:0, RMP:12823, duty:666, vbemf:901, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1340mA, ntc:7575R, adj:0, RMP:12823, duty:666, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1340mA, ntc:7569R, adj:0, RMP:12823, duty:666, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1340mA, ntc:7569R, adj:0, RMP:12823, duty:666, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1340mA, ntc:7569R, adj:0, RMP:12823, duty:665, vbemf:898, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1320mA, ntc:7569R, adj:0, RMP:12808, duty:662, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1320mA, ntc:7558R, adj:0, RMP:12793, duty:661, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1320mA, ntc:7564R, adj:0, RMP:12793, duty:659, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1300mA, ntc:7564R, adj:0, RMP:12763, duty:655, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1280mA, ntc:7564R, adj:0, RMP:12763, duty:653, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1280mA, ntc:7564R, adj:0, RMP:12763, duty:653, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1280mA, ntc:7564R, adj:0, RMP:12748, duty:652, vbemf:899, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1280mA, ntc:7564R, adj:0, RMP:12748, duty:650, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1280mA, ntc:7564R, adj:0, RMP:12733, duty:650, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1260mA, ntc:7564R, adj:0, RMP:12733, duty:648, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3634mV, curr:1260mA, ntc:7552R, adj:0, RMP:12733, duty:648, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1200mA, ntc:7558R, adj:0, RMP:12688, duty:627, vbemf:852, bat_level:85, is_use_emergency_flag=0 
bat:3638mV, curr:1180mA, ntc:7552R, adj:0, RMP:12688, duty:627, vbemf:858, bat_level:85, is_use_emergency_flag=0 
bat:3638mV, curr:1180mA, ntc:7552R, adj:0, RMP:12688, duty:627, vbemf:861, bat_level:85, is_use_emergency_flag=0 
bat:3638mV, curr:1180mA, ntc:7552R, adj:0, RMP:12688, duty:627, vbemf:871, bat_level:85, is_use_emergency_flag=0 
bat:3638mV, curr:1180mA, ntc:7552R, adj:0, RMP:12688, duty:627, vbemf:862, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7547R, adj:0, RMP:12688, duty:627, vbemf:869, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7547R, adj:0, RMP:12688, duty:627, vbemf:870, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7547R, adj:0, RMP:12688, duty:627, vbemf:873, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12688, duty:627, vbemf:879, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12658, duty:627, vbemf:887, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12658, duty:627, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12658, duty:627, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12658, duty:627, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1180mA, ntc:7536R, adj:0, RMP:12658, duty:627, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7536R, adj:0, RMP:12628, duty:624, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7536R, adj:0, RMP:12628, duty:624, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7536R, adj:0, RMP:12628, duty:624, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7525R, adj:0, RMP:12628, duty:624, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7525R, adj:0, RMP:12628, duty:624, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7525R, adj:0, RMP:12613, duty:621, vbemf:902, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1160mA, ntc:7514R, adj:0, RMP:12613, duty:619, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1140mA, ntc:7514R, adj:0, RMP:12598, duty:616, vbemf:900, bat_level:85, is_use_emergency_flag=0 
bat:3636mV, curr:1140mA, ntc:7514R, adj:0, RMP:12598, duty:612, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1120mA, ntc:7525R, adj:0, RMP:12598, duty:612, vbemf:893, bat_level:85, is_use_emergency_flag=0 
