 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3652mV, curr:2420mA, ntc:6686R, adj:0, RMP:16267, duty:850, vbemf:267, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2420mA, ntc:6686R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2420mA, ntc:6686R, adj:0, RMP:16267, duty:850, vbemf:273, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2400mA, ntc:6695R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2400mA, ntc:6686R, adj:0, RMP:16267, duty:850, vbemf:258, bat_level:90, is_use_emergency_flag=0 
bat:3650mV, curr:2420mA, ntc:6690R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3650mV, curr:2420mA, ntc:6681R, adj:0, RMP:16267, duty:850, vbemf:245, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2420mA, ntc:6686R, adj:0, RMP:15667, duty:850, vbemf:374, bat_level:90, is_use_emergency_flag=0 
bat:3654mV, curr:2420mA, ntc:6700R, adj:-75, RMP:15157, duty:850, vbemf:313, bat_level:90, is_use_emergency_flag=0 
bat:3660mV, curr:2440mA, ntc:6715R, adj:-15, RMP:13912, duty:850, vbemf:637, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2380mA, ntc:6735R, adj:0, RMP:13642, duty:850, vbemf:634, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2380mA, ntc:6726R, adj:-15, RMP:13417, duty:850, vbemf:792, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2380mA, ntc:6731R, adj:0, RMP:13342, duty:850, vbemf:699, bat_level:90, is_use_emergency_flag=0 
is_limit_duty_flag = 1

bat:3672mV, curr:2300mA, ntc:6736R, adj:0, RMP:13222, duty:830, vbemf:826, bat_level:90, is_use_emergency_flag=0 
bat:3674mV, curr:2260mA, ntc:6741R, adj:0, RMP:13177, duty:830, vbemf:819, bat_level:90, is_use_emergency_flag=0 
bat:3676mV, curr:2240mA, ntc:6746R, adj:0, RMP:13162, duty:830, vbemf:847, bat_level:90, is_use_emergency_flag=0 
bat:3676mV, curr:2220mA, ntc:6746R, adj:0, RMP:13162, duty:823, vbemf:903, bat_level:90, is_use_emergency_flag=0 
bat:3678mV, curr:2180mA, ntc:6742R, adj:-15, RMP:13072, duty:822, vbemf:882, bat_level:90, is_use_emergency_flag=0 
bat:3680mV, curr:2160mA, ntc:6747R, adj:0, RMP:13057, duty:806, vbemf:914, bat_level:90, is_use_emergency_flag=0 
bat:3684mV, curr:2100mA, ntc:6757R, adj:0, RMP:13057, duty:808, vbemf:819, bat_level:90, is_use_emergency_flag=0 
