 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:3924mV, curr:1350mA, ntc:8141R,  RMP:11901, duty:858, vbemf:477, bat_level:96, rpm_step:0, duty=858 
bat:3922mV, curr:1410mA, ntc:8136R,  RMP:11901, duty:870, vbemf:493, bat_level:96, rpm_step:0, duty=870 
bat:3920mV, curr:1450mA, ntc:8131R,  RMP:11946, duty:880, vbemf:536, bat_level:96, rpm_step:-15, duty=880 
bat:3916mV, curr:1530mA, ntc:8120R,  RMP:11931, duty:904, vbemf:505, bat_level:96, rpm_step:0, duty=904 
bat:3914mV, curr:1530mA, ntc:8114R,  RMP:11886, duty:885, vbemf:571, bat_level:96, rpm_step:0, duty=885 
bat:3916mV, curr:1510mA, ntc:8108R,  RMP:11886, duty:893, vbemf:536, bat_level:96, rpm_step:0, duty=893 
bat:3916mV, curr:1510mA, ntc:8108R,  RMP:11886, duty:893, vbemf:513, bat_level:96, rpm_step:0, duty=893 
bat:3914mV, curr:1550mA, ntc:8091R,  RMP:11886, duty:900, vbemf:535, bat_level:96, rpm_step:0, duty=900 
bat:3912mV, curr:1570mA, ntc:8086R,  RMP:11886, duty:915, vbemf:514, bat_level:96, rpm_step:0, duty=915 
bat:3908mV, curr:1630mA, ntc:8075R,  RMP:11886, duty:918, vbemf:584, bat_level:96, rpm_step:0, duty=918 
bat:3908mV, curr:1630mA, ntc:8075R,  RMP:11886, duty:923, vbemf:488, bat_level:96, rpm_step:0, duty=923 
bat:3902mV, curr:1730mA, ntc:8059R,  RMP:11961, duty:950, vbemf:496, bat_level:96, rpm_step:0, duty=951 
bat:3900mV, curr:1770mA, ntc:8053R,  RMP:11961, duty:950, vbemf:513, bat_level:96, rpm_step:0, duty=951 
bat:3902mV, curr:1730mA, ntc:8059R,  RMP:11901, duty:922, vbemf:638, bat_level:96, rpm_step:0, duty=922 
bat:3912mV, curr:1530mA, ntc:8063R,  RMP:12321, duty:898, vbemf:369, bat_level:96, rpm_step:0, duty=898 
bat:3902mV, curr:1690mA, ntc:8047R,  RMP:12021, duty:945, vbemf:492, bat_level:96, rpm_step:0, duty=945 
bat:3900mV, curr:1770mA, ntc:8042R,  RMP:12006, duty:950, vbemf:564, bat_level:96, rpm_step:-15, duty=951 
bat:3900mV, curr:1750mA, ntc:8042R,  RMP:11901, duty:950, vbemf:610, bat_level:96, rpm_step:0, duty=951 
bat:3900mV, curr:1770mA, ntc:8042R,  RMP:11901, duty:950, vbemf:541, bat_level:96, rpm_step:0, duty=951 
bat:3898mV, curr:1790mA, ntc:8025R,  RMP:11901, duty:950, vbemf:448, bat_level:96, rpm_step:0, duty=951 
bat:3898mV, curr:1770mA, ntc:8025R,  RMP:11901, duty:950, vbemf:608, bat_level:96, rpm_step:0, duty=951 
bat:3906mV, curr:1610mA, ntc:8035R,  RMP:11871, duty:899, vbemf:584, bat_level:96, rpm_step:0, duty=899 
bat:3908mV, curr:1510mA, ntc:8029R,  RMP:11871, duty:885, vbemf:608, bat_level:96, rpm_step:0, duty=885 
bat:3912mV, curr:1470mA, ntc:8029R,  RMP:11871, duty:891, vbemf:495, bat_level:96, rpm_step:0, duty=891 
bat:3906mV, curr:1610mA, ntc:8013R,  RMP:11871, duty:923, vbemf:489, bat_level:96, rpm_step:0, duty=923 
bat:3900mV, curr:1690mA, ntc:8008R,  RMP:11871, duty:941, vbemf:665, bat_level:96, rpm_step:0, duty=941 
bat:3908mV, curr:1510mA, ntc:8007R,  RMP:11826, duty:875, vbemf:650, bat_level:96, rpm_step:0, duty=875 
bat:3912mV, curr:1450mA, ntc:8017R,  RMP:11826, duty:887, vbemf:541, bat_level:96, rpm_step:0, duty=887 
bat:3908mV, curr:1530mA, ntc:8007R,  RMP:11826, duty:898, vbemf:565, bat_level:96, rpm_step:0, duty=898 
bat:3906mV, curr:1610mA, ntc:8001R,  RMP:12051, duty:924, vbemf:481, bat_level:96, rpm_step:75, duty=924 
bat:3898mV, curr:1710mA, ntc:7980R,  RMP:11916, duty:939, vbemf:556, bat_level:96, rpm_step:0, duty=939 
bat:3902mV, curr:1590mA, ntc:7979R,  RMP:11871, duty:896, vbemf:597, bat_level:96, rpm_step:0, duty=896 
bat:3908mV, curr:1470mA, ntc:7995R,  RMP:11871, duty:869, vbemf:598, bat_level:96, rpm_step:0, duty=869 
